Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
artesunate,artesunate,For the treatment of severe Falciparum malaria in areas where there is evidence of quinine resistance.,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment should be followed by a complete oral regimen.,02/07/2014,05/26/2020,100,artesunate,,Amivas Inc.,Maryland,United States
ofloxacin,Ofloxacin,In topical treatment of external infections of the eye and its adnexa caused by susceptible bacteria.,Treatment of bacterial corneal ulcers.,01/12/1991,05/22/1996,100,Ofloxacin,Ocuflox Ophthalmic Solution,"Allergan, Inc.",California,United States
diazepam,diazepam (intranasal),,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity that are distinct from a patient’s usual seizure pattern in patients with epilepsy 6 years of age and older.",01/12/1977,01/10/2020,100,diazepam (intranasal),VALTOCO,"Neurelis Pharmaceuticals, Inc.",California,United States
crizotinib,crizotinib,For the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) that is ALK-positive as detected by an FDA-approved test.,Treatment of patients with metastatic NSCLC whose tumors are ROS1-positive,12/16/2011,03/11/2016,100,crizotinib,Xalkori,"Pfizer, Inc.",New York,United States
baclofen,baclofen,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity.",09/29/1995,09/18/2019,100,baclofen,OZOBAX,"Metacel Pharmaceuticals, LLC",Georgia,United States
hydroxyurea,hydroxyurea,,To reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia.,01/04/2004,12/23/2024,100,hydroxyurea,Xromi,Nova Laboratories Limited,Wigston,United Kingdom
deferiprone,deferiprone,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,07/12/1994,10/14/2011,100,deferiprone,Ferriprox,"Chiesi USA, Inc.",North Carolina,United States
mitomycin-c,mitomycin-C,,An adjunct to ab externo glaucoma surgery.,01/12/1972,02/07/2012,100,mitomycin-C,Mitosol,"Mobius Therapeutics, LLC",Missouri,United States
eribulin mesylate,eribulin mesylate,For the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least one chemotherapeutic regimen for advanced disease.,Treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracyclne-containing regimen,02/18/2015,01/28/2016,100,eribulin mesylate,Halaven,Eisai Inc.,New Jersey,United States
triclabendazole bolus,triclabendazole,"Broad spectrum flukicide indicated in the treatment of chronic fasciola gigantica, F.hepatica in sheep, goats, cattle and buffaloes.",EGATEN is indicated for the treatment of fascioliasis in patients 6 years of age and older.,01/09/1988,02/13/2019,100,triclabendazole,Egaten,Novartis Pharmaceuticals Corporation,New Jersey,United States
sildenafil citrate,sildenafil,For the treatment of pulmonary arterial hypertension (WHO group I) to improve exercise ability.,"Treatment of pulmonary arterial hypertension (WHO Group I) in pediatric patients (1 to 17 years old) to improve exercise ability.",01/23/2007,03/03/2023,100,sildenafil,Revatio,Viatris Specialty LLC,West Virginia,United States
pirfenidone,pirfenidone,For the treatment of idiopathic pulmonary fibrosis.,Treatment of idiopathic pulmonary fibrosis,09/14/2010,10/15/2014,100,pirfenidone,ESBRIET,Genentech,California,United States
alectinib,alectinib,"For the treatment of patients with ALK-positive, metastatic non-small cell lung cancer who have progressed on or are intolerant to Crizotinib.","Adjuvant treatment in adult patients following tumor resection of ALK-positive NSCLC (tumors ≥4 cm or node positive).",01/23/2017,04/18/2024,100,alectinib,Alecensa,"Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)",California,United States
carbamazepine,intravenous carbamazepine,,"Replacement therapy for oral carbamazepine formulations when oral administration is temporarily not feasible in adults with seizure disorders.",05/17/1993,10/07/2016,100,intravenous carbamazepine,CARNEXIV,Lundbeck LLC,North Carolina,United States
trastuzumab,trastuzumab,"By cancer specialist in metastatic breast cancer with HER2 overexpression.","Treatment of patients with HER2 overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease.",10/07/2000,10/20/2010,100,trastuzumab,Herceptin,"Genentech, Inc.",California,United States
tetrabenazine,Tetrabenazine,"In treatment of movement disorders associated with organic CNS conditions like Huntington's chorea, hemiballismus and senile chorea.",Treatment of chorea associated with Huntington's disease,10/03/1999,08/15/2008,100,Tetrabenazine,Xenazine,"Prestwick Pharmaceuticals, Inc",District of Columbia,United States
botulinum toxin type a,botulinum toxin type A,For the prophylaxis of headaches in adults with chronic migraine.,BOTOX is indicated for treatment of upper limb spasticity in pediatric patients 2 to 17 years of age.,10/18/2001,06/20/2019,100,botulinum toxin type A,Botox,"Allergan, Inc.",California,United States
ceritinib,ceritinib,"For the treatment of patients with ALK-positive metastatic NSCLC who have progressed on or are intolerant to crizotinib.",Treatment of patients with metastatic NSCLC whose tumors are ALK-positive as detected by an FDA-approved test,01/06/1980,05/26/2017,100,ceritinib,ZYKADIA,Novartis Pharmaceuticals Corp.,New Jersey,United States
infliximab,infliximab,"For treatment of moderate to severely active Crohn's disease for the reduction of signs and symptoms in patients who have an inadequate response to conventional therapies.","For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis.",01/25/2000,09/23/2011,100,infliximab,Remicade,"Janssen Biotech, Inc.",Pennsylvania,United States
topiramate,Topiramate,In the treatment of partial and generalized tonic clonic seizures.,As adjunctive therapy in patients two years and older with seizures associated with Lennox-Gastaut syndrome.,08/23/1999,08/28/2001,100,Topiramate,Topamax,"Johnson & Johnson Pharmaceutical R & D, LLC",New Jersey,United States
nintedanib,nintedanib,"In combination with docetaxel for the treatment of adults with locally advanced, metastatic or recurrent NSCLC of adenocarcinoma histology after first line chemotherapy.","OFEV is indicated to slow the rate of decline in pulmonary function in patients with systemic sclerosis associated interstitial lung disease.",01/04/2016,09/06/2019,100,nintedanib,OFEV,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
gabapentin,gabapentin,As adjunctive therapy in the treatment of partial seizures of epilepsy.,For the management of postherpetic neuralgia,01/30/2008,01/28/2011,100,gabapentin,Gralise,Golf Acquiror LLC,New Jersey,United States
difluprednate,difluprednate,For the treatment of inflammation and pain associated with ocular surgery.,Treatment of endogenous anterior uveitis,01/04/2010,06/13/2012,100,difluprednate,Durezol,Alcon Pharmaceuticals Ltd.,,Switzerland
bleomycin,Bleomycin sulfate,Anti cancer drug indicated in the treatment of head and neck cancer.,Treatment of malignant pleural effusion.,01/09/1985,02/20/1996,100,Bleomycin sulfate,Blenoxane,Bristol-Myers Squibb Pharmaceutical Research Institute,New Jersey,United States
triptorelin,triptorelin pamoate,"For the treatment of prostate cancer, ovarian cancer, breast cancer, precocious puberty, uterine fibroids, myomas, polycystic ovarian disease and pre-treatment in IVF.","Treatment of pediatric patients 2 years of age and older with central precocious puberty.",05/07/1993,06/29/2017,100,triptorelin pamoate,Triptodur,"Arbor Pharmaceuticals, LLC",Georgia,United States
moxidectin,moxidectin,In the treatment and control of internal and external parasites in cattle.,Moxidectin Tablets are indicated for the treatment of onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,01/16/1997,06/13/2018,100,moxidectin,,Medicines Development for Global Health Limited,,Australia
ifosfamide,Ifosfamide,"Anticancer indicated in the treatment of ovarian, breast, testicular carcinoma, hypernephroma, pancreatic carcinoma and malignant lymphoma.","In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer.",01/09/1978,12/30/1988,100,Ifosfamide,Ifex,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
ruxolitinib,ruxolitinib,"For the treatment of patients with myelofibrosis including primary myelofibrosis, post-polycythemia vera myelofibrosis or post-essential thrombocythemia myelofibrosis.","Treatment of chronic graft-versus-host disease after failure of one or two lines of systemic therapy in adult and pediatric patients 12 years and older.",01/28/2013,09/22/2021,100,ruxolitinib,Jakafi,Incyte Corporation,Delaware,United States
bosentan,bosentan,"For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO Class III or IV symptoms, to improve exercise ability and decrease the rate of clinical worsening.","Treatment of pulmonary arterial hypertension (PAH) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance.",06/23/2009,09/05/2017,100,bosentan,Tracleer,Actelion Pharmaceuticals Ltd,New Jersey,United States
clonidine hydrochloride,Clonidine,,In combination with opiates for the treatment of severe pain in cancer patients not adequately relieved by opioid analgesics alone.,01/07/1975,10/02/1996,100,Clonidine,Duraclon,"Roxane Laboratories, Inc.",Ohio,United States
amiodarone hydrochloride,Amiodarone HCl,"In the treatment and control of ventricular and supraventricular arrhythmia where other drugs cannot be used, arrhythmia associated with Wolff-Parkinson-White syndrome.","For initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.",01/04/1990,08/03/1995,100,Amiodarone HCl,Cordarone,Wyeth-Ayerst Laboratories,Pennsylvania,United States
dasatinib,dasatinib,For the treatment of adults with chronic accelerated or myeloid or lymphoid blast phase chronic myeloid leukemia (CML).,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,08/30/2006,11/09/2017,100,dasatinib,Sprycel,Bristol-Myers Squibb Company,New Jersey,United States
rosuvastatin calcium,rosuvastatin,Risk reduction of MI stroke and arterial revascularisation procedures in patients without clinically evident CHD but with multiple risk factors.,"An adjunct to diet to reduce LDL-C, Total-C, nonHDL-C and ApoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia.",05/24/2010,05/27/2016,100,rosuvastatin,Crestor,"iPR Pharmaceuticals, Inc.",Maryland,United States
sorafenib,Sorafenib,For the treatment of patients with advanced renal cell carcinoma.,Treatment of unresectable hepatocellular carcinoma,01/08/2007,11/16/2007,100,Sorafenib,Nexavar,Bayer Pharmaceuticals Corporation,Connecticut,United States
tretinoin,Tretinoin,,Induction of remission in patients with acute promyelocytic leukemia who are refractory to or unable to tolerate anthracycline based cytotoxic chemotherapy.,01/07/1974,11/22/1995,100,Tretinoin,Vesanoid,"Hoffmann-La Roche, Inc.",New Jersey,United States
tacrolimus,Tacrolimus,"For dermatologists, for treatment of patients with moderate to severe atopic dermatitis when other therapies are inadvisable.",Prophylaxis of organ rejection in patients receiving allogenic heart transplants.,07/03/2003,03/29/2006,100,Tacrolimus,Prograf,"Astellas Pharma US, Inc.",Illinois,United States
midazolam,midazolam,"Anaesthetic general, for preoperative sedation prior to short procedures and for induction of general anaesthesia prior to another agent.","NAYZILAM is indicated for the acute treatment of intermittent, stereotypic episodes of frequent seizure activity (seizure clusters) in patients with epilepsy 12 years of age and older.",04/15/1997,05/17/2019,100,midazolam,NAYZILAM,"UCB, Inc.",Georgia,United States
metronidazole benzoate,Metronidazole (topical),,,01/08/1976,11/22/1988,100,Metronidazole (topical),Metrogel,"Galderma Laboratories, Inc.",Texas,United States
eltrombopag olamine,eltrombopag,"Indicated in patients with chronic Hepatitis C virus infection for the treatment of thrombocytopenia to enable initiation and optimize interferon based therapy.",Treatment of patients with severe aplastic anemia who have had an insufficient response to immunosuppressive therapy.,07/04/2014,08/26/2014,100,eltrombopag,Promacta,Novartis Pharmaceuticals Corp.,New Jersey,United States
dexamethasone,dexamethasone,"For the treatment of non-infectious uveitis affecting the posterior segment of the eye. It should not be used when there is a gap in posterior capsule.","HEMADY is indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma.",02/20/2013,10/03/2019,100,dexamethasone,Hemady,Dexcel Pharma Technologies Ltd,Haifa District,Israel
lenalidomide,lenalidomide,In combination with dexamethasone for the treatment of multiple myeloma patients who have received at least one prior therapy.,REVLIMID in combination with dexamethasone is indicated for the treatment of patients with multiple myeloma.,04/22/2008,02/17/2015,100,lenalidomide,Revlimid,Celgene Corporation,New Jersey,United States
aztreonam,aztreonam,"Urinary tract infection, lower respiratory tract infection, septicemia, skin & skin structure infections, intra abdominal infections, gynecological infections.",To improve respiratory symptoms in cystic fibrosis patients with Pseudomonas aeruginosa,01/11/2002,02/22/2010,100,aztreonam,Cayston,"Gilead Sciences, Inc.",Washington,United States
trabectedin,trabectedin,"For the treatment of patients with advanced soft tissue sarcoma, after failure of anthracyclines and ifosfamide, or who are unsuited to receive these agents.",For the treatment of patients with unresectable or metastatic liposarcoma or leiomyosarcoma who received a prior anthracycline-containing regimen,01/04/2009,10/23/2015,100,trabectedin,Yondelis,"Janssen Research & Development, LLC",New Jersey,United States
ibuprofen,Ibuprofen lysine,,"For closure of a clinically significant patent ductus arteriosus in premature infants weighing between 500 and 1500 g when usual medical management is ineffective.",01/04/1979,04/13/2006,100,Ibuprofen lysine,NeoProfen,"Lundbeck, Inc.",Illinois,United States
afatinib,afatinib,"For treatment of locally advanced or metastatic NSCLC with EGFR mutation.",GILOTRIF is indicated for the first-line treatment of patients with metastatic NSCLC whose tumors have non-resistant EGFR mutations as detected by an FDA-approved test.,12/30/2014,01/12/2018,100,afatinib,Gilotrif,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
acyclovir + hydrocortisone,Hydrocortisone,"For the early treatment of recurrent cold sores in adult patients to reduce likelihood of ulcerative cold sores and to shorten lesion healing time.",ALKINDI SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency,08/30/2011,09/29/2020,100,Hydrocortisone,ALKINDI SPRINKLE,"Eton Pharmaceuticals, Inc.",Illinois,United States
abatacept,abatacept,"For reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in pediatric patients 6 years and older who have had an inadequate response to DMARDs.","Prophylaxis of acute graft versus host disease in combination with a calcineurin inhibitor and methotrexate in adults and pediatric patients 2 years and older undergoing unrelated-donor HSCT.",10/04/2009,12/15/2021,100,abatacept,Orencia,Bristol-Myers Squibb Co.,New Jersey,United States
imatinib mesylate,imatinib,"For the treatment of adult patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia integrated with chemotherapy, and other indicated uses.","Pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia in combination with chemotherapy.",11/08/2011,01/25/2013,100,imatinib,Gleevec,Novartis Pharmaceuticals Corporation,New Jersey,United States
tinidazole,Tinidazole,,Treatment of intestinal amebiasis and amebic liver abscess caused by E. histolytica in patients older than three years.,01/12/1983,05/17/2004,100,Tinidazole,Tindamax,"Presutti Laboratories, Inc.",Illinois,United States
mitoxantrone,Mitoxantrone,,"Reducing neurologic disability and/or the frequency of clinical relapses in certain multiple sclerosis patients.",01/03/1989,10/13/2000,100,Mitoxantrone,Novantrone,"Serono, Inc.",Massachusetts,United States
mebendazole,mebendazole,,Treatment of patients one year of age and older with gastrointestinal infections caused by Ascaris lumbricoides and Trichuris trichiura,01/12/1974,10/19/2016,100,mebendazole,VERMOX 500 mg chewable tablets,"Janssen Pharmaceutical Research & Development, LLC",New Jersey,United States
doxorubicin hydrochloride,doxorubicin HCL liposome injection,"For additional indication in the treatment of metastatic breast cancer, where there is an increased cardiac risk.","For use in combination with bortezomib for the treatment of patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.",01/04/2005,05/17/2007,100,doxorubicin HCL liposome injection,Doxil,Johnson & Johnson Pharmaceutical Research & Dev.,,United States
ibrutinib,ibrutinib,"For the treatment of adult patients with mantle cell lymphoma, chronic lymphocytic leukemia, and other listed conditions.","Treatment of patients with marginal zone lymphoma who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn).",07/10/2015,01/18/2017,100,ibrutinib,Imbruvica,"Pharmacyclics, LLC",California,United States
mesna,Mesna,"Urotoxic agent for prevention of urotoxic side effects associated with oxazaphosphorines.",,01/12/1981,12/30/1988,100,Mesna,Mesnex,Degussa Corporation,New Jersey,United States
nimodipine,nimodipine,"In the treatment and prevention of ischemic neurological deficit occurring due to arterial spasm following subarachnoid hemorrhage.","Improvement of neurological outcome by reducing the incidence and severity of ischemic deficits in adult patients with subarachnoid hemorrhage.",08/31/1992,05/10/2013,100,nimodipine,NYMALIZE,"Arbor Pharmaceuticals, Inc.",Georgia,United States
nilotinib,nilotinib,"For the treatment of chronic and accelerated phase Philadelphia chromosome positive chronic myelogenous leukemia in adult patients resistant to or intolerant to prior therapy that included imatinib.","Treatment of pediatric patients greater than or equal to 1 year of age with chronic phase and accelerated phase Ph+ CML with resistance or intolerance to prior TKI therapy.",07/14/2010,09/23/2021,100,nilotinib,Tasigna,Novartis Pharmaceuticals Corporation,New Jersey,United States
acyclovir,acyclovir,"For the treatment of uncomplicated Herpes Zoster in immunocompetent patients.",AVACLYR is indicated for the treatment of acute herpetic keratitis in patients with HSV-1 and HSV-2.,11/09/2010,03/29/2019,100,acyclovir,Avaclyr,Fera Pharmaceuticals,New York,United States
deferasirox,deferasirox,For the treatment of chronic iron overload due to blood transfusion in patients aged 2 years and above.,Treatment of chronic iron overload in patients 10 years and older with non-transfusion-dependent thalassemia syndromes,08/20/2007,05/18/2017,100,deferasirox,Exjade; Jadenu Sprinkles,Novartis Pharmaceuticals Corporation,New Jersey,United States
lenvatinib,lenvatinib,"For the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer.",LENVIMA is indicated for the first-line treatment of patients with unresectable hepatocellular carcinoma,02/12/2016,08/15/2018,100,lenvatinib,LENVIMA,Eisai Inc.,New Jersey,United States
gefitinib,gefitinib,"Indicated for the first line treatment of patients with locally advanced or metastatic NSCLC who have activating EGFR mutations.","For the first-line treatment of patients with metastatic NSCLC whose tumors have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.",12/18/2009,07/13/2015,100,gefitinib,Iressa,AstraZeneca Pharmaceuticals LP,Delaware,United States
lamotrigine,Lamotrigine,Add on therapy for partial and secondarily generalized tonic-clonic seizures in adults.,Adjunctive treatment of Lennox-Gastaut syndrome in pediatric and adult patients.,05/14/1998,08/24/1998,100,Lamotrigine,Lamictal,Glaxo Wellcome Research and Development,North Carolina,United States
fenfluramine hydrochloride,fenfluramine,,Treatment of seizures associated with Lennox-Gastaut syndrome in patients 2 years of age and older,09/07/1993,03/25/2022,100,fenfluramine,Fintepla,"UCB, Inc.",Georgia,United States
leuprolide acetate,Leuprolide acetate,For children with central precocious puberty.,Treatment of pediatric patients with central precocious puberty,10/08/2006,04/14/2023,100,Leuprolide acetate,Lupron Depot-Ped,AbbVie Endocrine Inc.,Illinois,United States
zinc sulphate,Zinc acetate,,For maintenance treatment of patients with Wilson's disease who have been initially treated with a chelating agent.,01/09/1978,01/28/1997,100,Zinc acetate,Galzin,"Eton Pharmaceuticals, Inc.",Illinois,United States
posaconazole,posaconazole,"Zygomycosis in patients with disease refractory to other therapy, or patients intolerant of other therapy.","Treatment of invasive aspergillosis in adults and pediatric patients 13 years of age and older.",12/20/2011,06/17/2021,100,posaconazole,Noxafil,Merck Sharp & Dohme LLC,New Jersey,United States
ivabradine,ivabradine,"For the treatment of chronic stable angina pectoris in patients with normal sinus rhythm who have a contraindication or intolerance for beta-blockers.","Corlanor is indicated for the treatment of stable symptomatic heart failure due to dilated cardiomyopathy in pediatric patients aged 6 months and older.",03/07/2008,04/22/2019,100,ivabradine,CORLANOR,"Amgen, Inc.",California,United States
cyclosporin,cyclosporine,"For treatment of moderate to severe dry eye syndrome (keratoconjunctivitis sicca).","Treatment of vernal keratoconjunctivitis in children and adults.",10/03/2003,06/23/2021,95.65217391,cyclosporine,Verkazia,"Harrow Eye, LLC",Tennessee,United States
filgrastism,Filgrastim,,"Reduce the duration of neutropenia and its sequelae in patients with non-myeloid malignancies undergoing ablative chemotherapy followed by bone marrow transplant.",09/30/1993,06/15/1994,95.23809524,Filgrastim,Neupogen,"Amgen, Inc.",California,United States

