Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
aflibercept,Eylea,2019-07-23,Treatment of Retinopathy of Prematurity,Designated/Approved,,,treatment of retinopathy of prematurity (ROP),2023-02-08,2030-02-08,treatment of retinopathy of prematurity (ROP),"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,' 10591 ' ,United States,694319.0
agalsidase beta,Fabrazyme,1988-01-19,Treatment of Fabry's disease.,Designated/Approved,,,treatment of adult and pediatric patients 2 years of age and older with confirmed Fabry disease,2021-03-11,2028-03-11,treatment of pediatric patients 2 years of age up to patients 8 years of age with confirmed Fabry disease,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,' 02139 ' ,United States,15286.0
agalsidase beta,Fabrazyme,1988-01-19,Treatment of Fabry's disease.,Designated/Approved,,,For use in patients with Fabry disease to reduce globotriaosylceramide (GL-3) deposition in capillary endothelium of the kidney and certain other cell types,2003-04-24,2010-04-24,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,' 02139 ' ,United States,15286.0
Albendazole,Albenza,1996-01-18,"Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocysticercosis.",Designated/Approved,,,"Treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium.",1996-06-11,2003-06-11,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,' 08807 ' ,United States,94295.0
Albendazole,Albenza,1996-01-17,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,Designated/Approved,,,"Treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, Echinococcus granulosus.",1996-06-11,2003-06-11,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,' 08807 ' ,United States,94195.0
Aldesleukin,Proleukin,1988-09-14,Treatment of metastatic renal cell carcinoma.,Designated/Approved,,,Treatment of adults (>18 years old) with metastatic renal cell carcinoma.,1992-05-05,1999-05-05,,Chiron Corporation,4560 Horton Street,,Emeryville,California,' 94608 ' ,United States,29088.0
Aldesleukin,Proleukin,1996-09-10,Treatment of metastatic melanoma.,Designated/Approved,,,Treatment of adults with metastatic melanoma.,1998-01-09,2005-01-09,,Chiron Corporation,4560 Horton Street,,Emeryville,California,' 94608 ' ,United States,100696.0
alectinib,Alecensa,2015-01-27,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test",2024-04-18,2031-04-18,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,' 94080 ' ,United States,462814.0
alectinib,Alecensa,2015-01-27,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.",2017-11-06,2024-11-06,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small-cell lung cancer (NSCLC) as detected by an FDA-approved test, excluding patients who have progressed on or are intolerant to crizotinib.","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,' 94080 ' ,United States,462814.0
alectinib,Alecensa,2015-01-27,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib.",2015-12-11,2022-12-11,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), who have progressed on or are intolerant to crizotinib","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,' 94080 ' ,United States,462814.0
alemtuzumab,Campath,1997-10-20,Treatment of chronic lymphocytic leukemia.,Designated/Approved,,,The treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy.,2001-05-07,2008-05-07,,Genzyme Corporation,4545 Horizon Hill Blvd.,,San Antonio,Texas,' 78229 ' ,United States,107197.0
Alglucerase injection,Ceredase,1985-03-11,For replacement therapy in patients with Gaucher's disease type I.,Designated/Approved,,,"Long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a) moderate-to-severe anemia; b) thrombocytopenia with bleeding tendency; c) bone disease; d) significant hepatomegaly or splenomegaly.",1991-04-05,1998-04-05,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,' 02139 ' ,United States,5585.0
alirocumab,Praluent,2017-06-15,Treatment of homozygous familial hypercholesterolemia,Designated/Approved,,,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,2021-04-01,2028-04-01,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,' 10591 ' ,United States,580617.0
Alitretinoin,Panretin,1998-03-24,Treatment of AIDS-related Kaposi's sarcoma.,Designated/Approved,,,Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.,1999-02-02,2006-02-02,,Advanz Pharma (US) Corp.,"2801 Lakeside Drive, Ste 210, Office 7",,Bannockburn,Illinois,' 60015 ' ,United States,110998.0
allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen-dsat,StrataGraft,2012-05-21,Treatment of hospitalized patients with complex skin defects resulting from partial and full thickness skin burns requiring excision and grafting,Designated/Approved,,,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),2021-06-15,2028-06-15,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),"Stratatech Corporation, a Mallinckrodt company",440 Route 22 East,,Bridgewater,New Jersey,' 08807 ' ,United States,365312.0
allogeneic processed thymus tissue-agdc,Rethymic,2003-08-15,Treatment of congenital athymia,Designated/Approved,,,immune reconstitution in pediatric patients with congenital athymia,2021-10-08,2028-10-08,immune reconstitution in pediatric patients with congenital athymia,Enzyvant Therapeutics GmbH,Viaduktstrasse 8,CH-4051,Basel,,' ' ,Switzerland,172603.0
Allopurinol sodium,Aloprim for Injection,1992-10-16,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",Designated/Approved,,,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",1996-05-17,2003-05-17,,"Catalytica Pharmaceuticals, Inc",PO Box 1887,,Greenville,North Carolina,' 27835 ' ,United States,68392.0
alpelisib,Vijoice,2019-11-18,Treatment of PIK3CA-related overgrowth spectrum,Designated/Approved,,,Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,2022-04-05,2029-04-05,Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,710819.0
alpelisib,Vijoice,2019-11-18,Treatment of PIK3CA-related overgrowth spectrum,Designated/Approved,,,treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,2024-04-24,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,710819.0
Alpha1-proteinase inhibitor (human),Prolastin,1984-12-07,For replacement therapy in the alpha-1-proteinase inhibitor congenital deficiency state.,Designated/Approved,,,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.,1987-12-02,1994-12-02,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,3084.0
Altretamine,Hexalen,1984-02-09,Treatment of advanced adenocarcinoma of the ovary.,Designated/Approved,,,Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,1990-12-26,1997-12-26,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,' 19428 ' ,United States,983.0
Amantadine hydrochloride,Gocovri,2015-04-09,Treatment of levodopa-induced dyskinesia,Designated/Approved,,,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,2017-08-24,2024-08-24,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,"Adamas Pharmaceuticals, Inc.",1900 Powell Street,Suite 750,Emeryville,California,' 94608 ' ,United States,413213.0
ambrisentan,Letairis,2004-07-16,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening,2007-06-15,2014-06-15,,Gilead Colorado,7575 West 103rd Avenue,Suite 102,Westminister,Colorado,' 80021 ' ,United States,183604.0
amifampridine,Firdapse,2009-11-12,Treatment of Lambert-Eaton Myasthenic Syndrome,Designated/Approved,,,Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients 6 years of age and older,2022-09-29,,,"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,' 33134 ' ,United States,295309.0
amifampridine,Firdapse,2009-11-12,Treatment of Lambert-Eaton Myasthenic Syndrome,Designated/Approved,,,Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults,2018-11-28,2025-11-28,Treatment of Lambert-Eaton myasthenic syndrome (LEMS),"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,' 33134 ' ,United States,295309.0
Amifostine,Ethyol,1990-05-30,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.,Designated/Approved,,,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,1995-12-08,2002-12-08,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,' 19428 ' ,United States,42789.0
Amifostine,Ethyol,1998-05-12,Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.,Designated/Approved,,,"Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands.",1999-06-24,2006-06-24,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,' 19428 ' ,United States,111698.0
Aminosalicylic acid,Paser Granules,1992-02-19,Treatment of tuberculosis infections,Designated/Approved,,,Treatment of tuberculosis,1994-06-30,2001-06-30,,Jacobus Pharmaceutical Company,37 Cleveland Lane,P.O. Box 5290,Princeton,New Jersey,' 08540 ' ,United States,65792.0
Amiodarone HCl,Cordarone,1994-03-16,For the acute treatment and prophylaxis of life-threatening ventricular tachycardia or ventricular fibrillation.,Designated/Approved,,,For initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.,1995-08-03,2002-08-03,,Wyeth-Ayerst Laboratories,P.O. Box 8299,,Philadelphia,Pennsylvania,' 19101 ' ,United States,77293.0
Amphotericin B lipid complex,Abelcet,1991-12-05,Treatment of invasive fungal infections.,Designated/Approved,,,Treatment of invasive fungal infections in patients who are refractory to or intolerant of conventional amphotericin B therapy.,1996-10-18,2003-10-18,,"Liposome Company, Inc.",One Research Way,,Princeton,New Jersey,' 08540 ' ,United States,57891.0
