Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
crizotinib,crizotinib,For the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic lymphoma kinase (ALK) â?? positive as detected by an FDA-approved test.,Treatment of patients with metastatic NSCLC whose tumors are ROS1-positive,12/16/2011,03/11/2016,100.0,crizotinib,Xalkori,"Pfizer, Inc.",New York,United States
pirfenidone,pirfenidone,For the treatment of idiopathic pulmonary fibrosis.,Treatment of idiopathic pulmonary fibrosis,09/14/2010,10/15/2014,100.0,pirfenidone,ESBRIET,Genentech,California,United States
cytarabine,Cytarabine liposomal,Anticancer indicated in the treatment of acue myeloid leukaemia,Intrathecal treatment of lymphomatous meningitis.,01/06/1980,04/01/1999,100.0,Cytarabine liposomal,DepoCyt,"Pacira Pharmaceuticals, Inc.",California,United States
raloxifene hydrochloride,raloxifene,For the treatment and prevention of post menopausal osteoporosis in women.,Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer,04/05/2001,09/13/2007,100.0,raloxifene,Evista,Eli Lilly and Company,Indiana,United States
artesunate,artesunate,For the treatment of severe Falciparum malaria in areas where there is evidence if quinine resistance.,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,02/07/2014,05/26/2020,100.0,artesunate,,Amivas Inc.,Maryland,United States
dexrazoxane,dexrazoxane,Prevention of cardiotoxicity of doxorubicin containing chemotherapy regimens.,Treatment of extravasation resulting from IV anthracycline chemotherapy,02/26/2002,09/06/2007,100.0,dexrazoxane,Totect(r),"Clinigen, Inc.",Pennsylvania,United States
somatropin,Somatropin,Longterm treatment of children who have growth failure failure due to inadequate secretion of normal endogenous growth hormone and for treatment of short stature in children with Turner's syndrome confirmed by chromosomal analysis.,Treatment of short stature in patients with Noonan syndrome,04/02/1998,05/31/2007,100.0,Somatropin,Norditropin,Novo Nordisk Inc.,New Jersey,United States
zidovudine,zidovudine,AIDS- Indicated in the treatment of short term management of serious manifestations of humam immuneno deficiency virus (HIV) infection in patients with AIDS.,Management of certain adult patients with symptomatic HIV infection (AIDS and advanced ARC) who have a history of cytologically confirmed Pneumocytis carinii pneumonia (PCP) or an absolute CD4 (T4 helper/induccer) lymphocyte count of less than 200/mm in the peripheral blood before therapy is begun,01/04/1988,03/19/1987,100.0,zidovudine,Retrovir,Glaxo Wellcome Inc.,North Carolina,United States
fomepizole,fomepizole,"As an antidote for Ethylene glycol or Methanol used poisoning or for use in suspected Ethylene glycol or Methanol ingestion, either alone or in combination with hemodialysis.","As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.",03/14/2016,12/04/1997,100.0,fomepizole,Antizole,"Par Pharmaceuticals, Inc",New York,United States
pegaspargase,Pegaspargase,Indicated as a component of multi agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to asparaginase.,ASPARLAS is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,07/03/2014,12/20/2018,100.0,Pegaspargase,Oncaspar; Asparlas,Servier Pharmaceuticals LLC,Massachusetts,United States
bosentan,bosentan,"For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO Class III or IV symptoms, to improve excercise ability and decrease the rate of clinical worsening.","Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",06/23/2009,09/05/2017,100.0,bosentan,Tracleer,Actelion Pharmaceuticals Ltd,New Jersey,United States
ifosfamide + mesna,Ifosfamide,NOC granted to the firm as it was earlier licenced by SLA (Maharashtra),"In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer.",07/30/1999,12/30/1988,100.0,Ifosfamide,Ifex,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
diazepam,diazepam (intranasal),Emergency treatment of convulsions as well as chronic prophylaxis against febrile seizures.,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¿s usual seizure pattern in patients with epilepsy 6 years of age and older.",06/17/1999,01/10/2020,100.0,diazepam (intranasal),VALTOCO,"Neurelis Pharmaceuticals, Inc.",California,United States
aprotinin,Aprotinin,,,05/27/2005,12/29/1993,100.0,Aprotinin,Trasylol,Bayer Corporation,Connecticut,United States
selegiline hydrochloride,Selegiline HCl,Parkinsonism- Indicated in the treatment of Parkinson's disease.,,01/08/1991,06/05/1989,100.0,Selegiline HCl,Eldepryl,"Somerset Pharmaceuticals, Inc.",New Jersey,United States
ribavirin,ribavirin,"Additional indication: 24 week treatment regimen in the subgroup of hepatitis-C (genotype-1) low viral load, patients, who are HCV RNA negative of 4 weeks treatment.",Treatment of chronic hepatitis C among previously untreated pediatric patients at least three years of age or older.,01/11/2006,07/29/2003,100.0,ribavirin,REBETOL,Schering Corporation,New Jersey,United States
mesna,Mesna,Urotoxic agent- for prevention of urotoxic side effects associated with the treatment of malignant tumours by oxazaphosphorines.,,01/12/1981,12/30/1988,100.0,Mesna,Mesnex,Degussa Corporation,New Jersey,United States
pilocarpine,Pilocarpine,For the management of intraocular pressure in glaucoma,Treatment of symptoms of xerostomia from salivary gland hypofunction caused by radiotherapy for cancer of the head and neck.,06/24/1999,03/22/1994,100.0,Pilocarpine,Salagen,"MGI Pharma, Inc.",Minnesota,United States
vemurafenib,vemurafenib,For the treatment of patients with unresectable or metastatic melanoma with BRAFV600E mutation as detected by an FDA-approved test. Vemurafenib is not recommended for use in patients with wild-type BRAF melanoma.,Treatment of unresectable or metastatic melanoma with the BRAFV600E mutation as detected by an FDA-approved test.,10/19/2012,08/17/2011,100.0,vemurafenib,Zelboraf,"Hoffmann-La Roche, Inc.",New Jersey,United States
ganciclovir sodium,ganciclovir,For the prevention & treatment of cytomegalo virus disease in immuno compromised individuals and for the prevention of CMV disease in transplant receipients.,Treatment of acute herpetic keratitis (dendritic ulcers),05/04/2000,09/15/2009,100.0,ganciclovir,Zirgan,"Sirion Therapeutics, Inc.",Florida,United States
nilotinib,nilotinib,For the treatment of chronic and accelerated phase Philadelphia chromosome positive chronic myelogenous leukemia (CML) in adult patients resistant to or intolerant to prior therapy that included imatinib.,Treatment of pediatric patients greater than or equal to 1 year of age with chronic phase and accelerated phase Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) with resistance or intolerance to prior tyrosine-kinase inhibitor (TKI) therapy,07/14/2010,09/23/2021,100.0,nilotinib,Tasigna,Novartis Pharmaceuticals Corporation,New Jersey,United States
irinotecan hydrochloride trihydrate,irinotecan liposome injection,For the treatment of metastatic colorectal cancer.,"in combination with oxaliplatin, fluorouracil and leucovorin for the first-line treatment of adult patients with metastatic pancreatic adenocarcinoma",08/31/2010,02/13/2024,100.0,irinotecan liposome injection,Onivyde,"Ipsen Biopharmaceuticals, Inc.",Massachusetts,United States
bedaquiline,bedaquiline,"In adults (â?¥ 18 years), as part of combination therapy of pulmonary tuberculosis due to multi-drug resistant Mycobacterium tuberculosis when an effective treatment regimen cannot otherwise be provided.",Part of combination therapy in adults (greater than or equal to 18 years) with pulmonary multi-drug resistant tuberculosis (MDR-TB).,01/14/2015,12/28/2012,100.0,bedaquiline,SIRTURO,"Janssen Research & Development, LLC",New Jersey,United States
gefitinib,gefitinib,"Indicated for the first line treatment of patients with locally advanced or metastatic non small cell lung cancer (NSLC) who have activating mutationof the EGFRTK"".",For the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test,12/18/2009,07/13/2015,100.0,gefitinib,Iressa,AstraZeneca Pharmaceuticals LP,Delaware,United States
sildenafil citrate,sildenafil,"By urologist, psychiatrist, endocrinologist-for treatment of erectile dysfunction in men.","treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients (1 to 17 years old) to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underlie improvements in exercise",08/01/2001,03/03/2023,100.0,sildenafil,Revatio,Viatris Specialty LLC,West Virginia,United States
glatiramer acetate,glatiramer acetate,For the reduction of the frequency of relapses in patients with Relapsing-Remitting Multiple Sclerosis.,For reduction of the frequency of relapses in patients with relapsing-remitting multiple sclerosis.,03/06/2009,12/20/1996,100.0,glatiramer acetate,Copaxone,Teva Pharmaceuticals USA,Pennsylvania,United States
acyclovir,acyclovir,For the treatment of uncomplicated Herbis Zoster in immunocompetent patients.,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,11/09/2010,03/29/2019,100.0,acyclovir,Avaclyr,Fera Pharmaceuticals,New York,United States
deferasirox,deferasirox,For the treatment of chronic iron overload due to blood transfusion (transfusional haemosiderosis) in patients aged 2years and above.,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,08/20/2007,05/18/2017,100.0,deferasirox,Exjade; Jadenu Sprinkles,Novartis Pharmaceuticals Corporation,New Jersey,United States
lenvatinib,lenvatinib,"For the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer.",LENVIMA is indicated for the first-line treatment of patients with unresectable hepatocellular carcinoma (HCC),02/12/2016,08/15/2018,100.0,lenvatinib,LENVIMA,Eisai Inc.,New Jersey,United States
nitazoxanide,nitazoxanide,,Treatment of diarrhea caused by Cryptosporidium parvum and Giardia lamblia,03/17/2004,11/22/2002,100.0,nitazoxanide,Alinia,"Romark Laboratories, L.C.",Florida,United States
apomorphine hydrochloride,Apomorphine HCl,For the treatment of erectile dysfunction in adult men.,"For the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose-wearing-off"" and unpredictable :on/off"" episodes) associated with advanced Parkinson's disease",11/12/2007,04/20/2004,100.0,Apomorphine HCl,Apokyn,"MDD US Operations, LLC",Kentucky,United States
pemetrexed disodium,pemetrexed disodium,In combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.,Treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery,08/10/2008,02/04/2004,100.0,pemetrexed disodium,Alimta,Eli Lilly and Company,Indiana,United States
peritoneal dialysis solution,Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution,As Nutritional supplements for malnourished renal failure patients (Albumin concentration lower than 35 g/litre) being maintained on peritoneal dialysis.,For use as a single daily exchange for the long (8-16 hour) dwell during continuous ambulatory peritoneal dialysis (CAPD) or automated peritoneal dialysis (APD) for the management of chronic renal failure.,04/18/2012,12/20/2002,100.0,Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution,Extraneal (with 7.5% Icodextrin) Peritoneal Dialysis Solutio,Baxter Healthcare Corporation,Illinois,United States
temsirolimus,Temsirolimus,For the treatment of advanced renal cell carcinoma,Treatment of advanced renal cell carcinoma,12/15/2010,05/30/2007,100.0,Temsirolimus,Torisel,"Wyeth Pharmaceuticals, Inc.",Pennsylvania,United States
genotropin,Genotropin,Short stature due to inadequate or failed incretion of pituitary growth hormone.,,05/09/1994,10/31/1997,100.0,Somatropin,Genotropin,Pharmacia & Upjohn,Michigan,United States
rituximab (finished formulation import),rituximab,By cancer specialist-for the treatment of patients with relapsed or chemo resistant indolent B cell non-hodgkins lymphomas.,"Treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin's lymphoma",10/07/2000,11/26/1997,100.0,rituximab,Rituxan,"Genentech, Inc.",California,United States
riluzole,Riluzole,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of patients with amyotrophic lateral sclerosis. Riluzole extends survival and/or time to tracheostomy.,10/17/1997,12/12/1995,100.0,Riluzole,Rilutek,"Rhone-Poulenc Rorer Pharmaceuticals, Inc.",Pennsylvania,United States
basiliximab,Basiliximab,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.,05/28/1999,05/12/1998,100.0,Basiliximab,Simulect,Novartis Pharmaceuticals Corporation,New Jersey,United States
mefloquine hydrochloride,mefloquine HCL,Used in severe malaria including cerebral malaria and as a second line chloroquine resistant malaria cases only.,Treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax,03/03/1997,05/02/1989,100.0,mefloquine HCL,Lariam,"Hoffmann-La Roche, Inc.",New Jersey,United States
trametinib,trametinib,As a monotherapy and in combination with Dabrafenib for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test.,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,trametinib,MEKINIST,Novartis Pharmaceuticals Corp.,New Jersey,United States
topiramate,Topiramate,In the treatment of partial and generalized tonic clonic seizures.,As adjunctive therapy in patients two years and older with siezures associated with Lennox-Gastaut syndrome.,08/23/1999,08/28/2001,100.0,Topiramate,Topamax,"Johnson & Johnson Pharmaceutical R & D, LLC",New Jersey,United States
alectinib,alectinib,"For the treatment of patients with anaplastic lymphoma kinase (ALK)-Positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to Crizotinib.","adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test",01/23/2017,04/18/2024,100.0,alectinib,Alecensa,"Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)",California,United States
carbamazepine,intravenous carbamazepine,,"Replacement therapy for oral carbamazepine formulations, when oral administration is temporarily not feasible, in adults with the following seizure types: (1) Partial seizures with complex symptomology; (2)Generalized tonic-clonic seizures; and (3) Mixed seizure patterns which include the above or other partial or generalized seizures",05/17/1993,10/07/2016,100.0,intravenous carbamazepine,CARNEXIV,Lundbeck LLC,North Carolina,United States
panobinostat,panobinostat,"In combination with bortezomib and dexamethasone, is indicated for the treatment of patients with multiple myeloma, who received at least 1 prior therapy.","FARYDAK (panobinostat) in combination with bortezomib (BTZ) and dexamethasone (DEX) for the treatment of patients with multiple myeloma who have received at least 2 prior regimens, including bortezomib and an immunomodulatory agent",03/27/2016,02/23/2015,100.0,panobinostat,Farydak,zr pharma& GmbH,,Austria
eliglustat,eliglustat,"For the long term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (Ems), intermediate metabolizers (Ims), or poor metabolizers (PMs) as detected by an appropriate test.","Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",01/31/2017,08/19/2014,100.0,eliglustat,CERDELGA,Genzyme Corporation,Massachusetts,United States
altretamine,Altretamine,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,03/29/1995,12/26/1990,100.0,Altretamine,Hexalen,"Medimmune Oncology, Inc.",Pennsylvania,United States
nafarelin acetate,Nafarelin acetate,Endometriosis and central precarious puberty only (for gynaecologist only),Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.,03/17/1999,02/26/1992,100.0,Nafarelin acetate,Synarel Nasal Solution,"Syntex (USA), Inc.",California,United States
trastuzumab,trastuzumab,By cancer specialist-in metastatic breast cancer who have tumours that over express human epidermal growth factor receptor-2 (HER2),"Treatment of patients with HER2 overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma, who have not received prior treatment for metastatic disease",10/07/2000,10/20/2010,100.0,trastuzumab,Herceptin,"Genentech, Inc.",California,United States
sirolimus,sirolimus,Prophylaxis of organ rejection in patients receiving renal transplants.,Treatment of lymphangioleiomyomatosis (LAM),07/03/2008,05/28/2015,100.0,sirolimus,Rapamune,"Pfizer, Inc.",Pennsylvania,United States
thalidomide caps,Thalidomide,For acute treatment of the cutaneous manifestation of moderate to severe erythema nodosum loprosum and for the treatment of multiple myeloma.,Acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL) and as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrences.,10/30/2001,07/16/1998,100.0,Thalidomide,Thalomid,Celgene Corporation,New Jersey,United States
daclizumab,Daclizumab,"By hospital, nursing homes, institution only. For prophylaxis in acute organ rejection in patients receiving transplants.","Prophylaxis of acute organ rejection in patients receiving renal transplants, to be used as a part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.",01/08/2006,12/10/1997,100.0,Daclizumab,Zenapax,"Hoffmann-La Roche, Inc.",New Jersey,United States
ceritinib,ceritinib,For the treatment of patients withÂ anaplasticÂ lymphomaÂ kinaseÂ (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who haveÂ progressed on or are intolerant toÂ crizotinib.,Treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test,01/06/1980,05/26/2017,100.0,ceritinib,ZYKADIA,Novartis Pharmaceuticals Corp.,New Jersey,United States
gemtuzumab ozogamicin,Gemtuzumab ozogamicin,Treatment of acute myeloid leukemia,Treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for cytotoxic chemotherapy,06/15/2007,05/17/2000,100.0,Gemtuzumab ozogamicin,Mylotarg,"Wyeth Pharmaceuticals, Inc., a Pfizer Company",California,United States
cladribine,Cladribine,Anti cancer.,,07/07/2011,02/26/1993,100.0,Cladribine,Leustatin Injection,R. W. Johnson Pharmaceutical Research Institute,New Jersey,United States
pasireotide,pasireotide,"""For the treatment of adult patients with Cushingâ??s Disease for whom Pituitary surgery is not an option or has not been curative"".",Treatment of adult patients with Cushing's disease for whom pituitary surgery is not an option or has not been curative,03/18/2015,12/14/2012,100.0,pasireotide,Signifor,Novartis Pharmaceuticals Corporation,New Jersey,United States
difluprednate,difluprednate,For the treatment of inflammation and painÂ  associated with ocular surgery.Â,Treatment of endogenous anterior uveitis,01/04/2010,06/13/2012,100.0,difluprednate,Durezol,Alcon Pharmaceuticals. Ltd.,,Switzerland
dabrafenib,dabrafenib,As a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test. In combination with Trametinib for the treatment of patients with unresectable or metastatic melanoma witÞ¡,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,dabrafenib,TAFINLAR,Novartis Pharmaceuticals Corp.,New Jersey,United States
triptorelin,triptorelin pamoate,"For the treatment of prostate cancer, ovarian cancer, breast cancer, precocious buperty, uterine fibroids, myomes, polycystic ovarian disease and pre-treatment in I.V.F",Treatment of pediatric patients 2 years of age and older with central precocious puberty,05/07/1993,06/29/2017,100.0,triptorelin pamoate,Triptodur,"Arbor Pharmaceuticals, LLC",Georgia,United States
epirubicin,Epirubicin,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.,01/07/1986,09/15/1999,100.0,Epirubicin,Ellence,Pharmacia & Upjohn Company,Michigan,United States
clobazam,clobazam,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome inpatients 2 years of age or older,11/11/1997,10/21/2011,100.0,clobazam,Onfi,"Lundbeck, Inc.",Illinois,United States
glycopyrrolate,glycopyrrolate,"Anaesthetic agent- for use as a pre operative antimuscarine to reduce salivary, tracheobronchial & phyrigeal secretions, arrhythmias & brodycardia associated with reversal o muscle relaxant.",To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),01/12/1979,07/28/2010,100.0,glycopyrrolate,Cuvposa,"Shionogi, Inc.",New Jersey,United States
arsenic trioxide,Arsenic trioxide,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation of PML/RAR-alpha gene expression.",06/12/2003,09/25/2000,100.0,Arsenic trioxide,Trisenox,"Teva Branded Pharmaceutical Products R&D, Inc.",Pennsylvania,United States
caffeine citrate,Caffeine,For the short treatment of apnoea of prematurity in infants between 28 and <33 weeks gestational age.,Short term treatment of apnea of prematurity in infants between 28 and less than 33 weeks gestational age.,07/21/2009,09/21/1999,100.0,Caffeine,Cafcit,"O.P.R. Development, L.P.",Kansas,United States
filgrastim,Filgrastim,"For decreasing the severity of cytotoxic chemotherapy induced neutropenia, acceleration.",Reduce the duration of neutropenia and neutropenia sequelae in patients with non-myeloid malignancies undergoing ablative chemotherapy followed by BMT.,06/28/2001,06/15/1994,100.0,Filgrastim,Neupogen,"Amgen, Inc.",California,United States
naltrexone hydrochloride,Naltrexone HCl,In the treatment of narcotic antagonist and alcohol dependence.,,11/10/1996,11/30/1984,100.0,Naltrexone HCl,Trexan,DuPont Pharmaceuticals,Delaware,United States
temozolomide,temozolomide,"For the treatment of; i) Adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment. Ii) Children from the age of three years, adolescents and adult patients with malignant giÞ¡","Treatment of adult patients with refractory anaplastic astrocytoma, i.e., patients at first relapse who have experienced disease progression on a drug regimen containing a nitrosourea and procarbazine",05/28/2010,08/11/1999,100.0,temozolomide,Temodar,Schering-Plough Research Institute,New Jersey,United States
carfilzomib,carfilzomib,Relapsed or refractory multiple myeloma i) Carfilzomib for injection is indicated in combination with dexamethasone or with lenalidomide plus dexamethasone for the treatment of patients with relapsed or refractory multiple myeloma who have received one Þ¡,Treatment of patients with multiple myeloma who have received at least two prior therapies including bortezomib and an immunomodulatory agent and have demonstrated disease progression on or within 60 days of completion of the last therapy.,01/17/2017,07/20/2012,100.0,carfilzomib,Kyprolis,"Onyx Therapeutics, Inc.",California,United States
plerixafor,plerixafor,In combination with Granulocyte Colony Stimulating Factor (G-CSF) to enhance mobilisation of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous hematopoeitic stem cells transplantation in patients with non-Hodgkinâ??sÞ¡,To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,01/31/2012,12/15/2008,100.0,plerixafor,Mozobil (r),Genzyme Corporation,Massachusetts,United States
regorafenib,regorafenib,"For the â??treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ?�.","Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate.",01/07/2014,02/25/2013,100.0,regorafenib,Stivarga,"Bayer HealthCare Pharmaceuticals, Inc.",New Jersey,United States
sotalol,sotalol (IV),"Beta-blocker- indicated in the treatment of angina pectoris, hypertension, cardiac arrythmias.","For use as a substitute for oral sotalol in patients who are unable to take sotalol orally [oral sotalol is indicated for maintenance of normal sinus rhythm in patients with history of highly symptomatic atrial fibrillation /flutter, and for treatment of documented life-threatening ventricular arrhythmias]",01/08/1978,07/02/2009,100.0,sotalol (IV),So-Aqueous,AltaThera Pharmaceuticals LLC,Illinois,United States
