Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
glatiramer acetate,glatiramer acetate,For the reduction of the frequency of relapses in patients with Relapsing-Remitting Multiple Sclerosis.,For reduction of the frequency of relapses in patients with relapsing-remitting multiple sclerosis.,03/06/2009,12/20/1996,100.0,glatiramer acetate,Copaxone,Teva Pharmaceuticals USA,Pennsylvania,United States
pegaspargase,Pegaspargase,Indicated as a component of multi agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to asparaginase.,ASPARLAS is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,07/03/2014,12/20/2018,100.0,Pegaspargase,Oncaspar; Asparlas,Servier Pharmaceuticals LLC,Massachusetts,United States
temsirolimus,Temsirolimus,For the treatment of advanced renal cell carcinoma,Treatment of advanced renal cell carcinoma,12/15/2010,05/30/2007,100.0,Temsirolimus,Torisel,"Wyeth Pharmaceuticals, Inc.",Pennsylvania,United States
bendamustine hydrochloride,bendamustine hydrochloride,Treatment of patients with chronic lymphocytic leukemia.,Treatment of Indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,09/19/2014,10/31/2008,100.0,bendamustine hydrochloride,Treanda,"Cephalon, Inc.",Pennsylvania,United States
genotropin,Genotropin,Short stature due to inadequate or failed incretion of pituitary growth hormone.,,05/09/1994,10/31/1997,100.0,Somatropin,Genotropin,Pharmacia & Upjohn,Michigan,United States
altretamine,Altretamine,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,03/29/1995,12/26/1990,100.0,Altretamine,Hexalen,"Medimmune Oncology, Inc.",Pennsylvania,United States
epirubicin,Epirubicin,"Anti cancer drug- Indicated in the treatment of breast cancer, malignant lymphomas, soft tissue sarcoma, gastric lung and ovarian carcinomas.",Component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.,01/07/1986,09/15/1999,100.0,Epirubicin,Ellence,Pharmacia & Upjohn Company,Michigan,United States
clobazam,clobazam,Acute and chronic anxiety states and as an adjunctive therapy in patients with refractory epilepsy.,Adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome inpatients 2 years of age or older,11/11/1997,10/21/2011,100.0,clobazam,Onfi,"Lundbeck, Inc.",Illinois,United States
baclofen,baclofen,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. OZOBAX may also be of some value in patients with spinal cord injuries and other spinal cord diseases.",09/29/1995,09/18/2019,100.0,baclofen,OZOBAX,"Metacel Pharmaceuticals, LLC",Georgia,United States
desmopressin acetate,Desmopressin acetate,"For the treatment of cranial diabetes insipidus , primary noctumal enuresis in patients.",Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,12/12/2008,03/07/1994,100.0,Desmopressin acetate,,"Ferring Pharmaceuticals, Inc.",New Jersey,United States
hydroxyurea,hydroxyurea,,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises,01/04/2004,12/23/2024,100.0,hydroxyurea,Xromi,Nova Laboratories Limited,Wigston,United Kingdom
deferiprone,deferiprone,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,07/12/1994,10/14/2011,100.0,deferiprone,Ferriprox,"Chiesi USA, Inc.",North Carolina,United States
deferasirox,deferasirox,For the treatment of chronic iron overload due to blood transfusion (transfusional haemosiderosis) in patients aged 2years and above.,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,08/20/2007,05/18/2017,100.0,deferasirox,Exjade; Jadenu Sprinkles,Novartis Pharmaceuticals Corporation,New Jersey,United States
lenvatinib,lenvatinib,"For the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer.",LENVIMA is indicated for the first-line treatment of patients with unresectable hepatocellular carcinoma (HCC),02/12/2016,08/15/2018,100.0,lenvatinib,LENVIMA,Eisai Inc.,New Jersey,United States
nintedanib,nintedanib,For the treatment of Idiopathic Pulmonary Fibrosis (IPF).,OFEV is indicated to slow the rate of decline in pulmonary function in patients with systemic sclerosis associated interstitial lung disease (SSc-ILD).,11/03/2016,09/06/2019,100.0,nintedanib,OFEV,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
apomorphine hydrochloride,Apomorphine HCl,For the treatment of erectile dysfunction in adult men.,"For the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose-wearing-off"" and unpredictable :on/off"" episodes) associated with advanced Parkinson's disease",11/12/2007,04/20/2004,100.0,Apomorphine HCl,Apokyn,"MDD US Operations, LLC",Kentucky,United States
pemetrexed disodium,pemetrexed disodium,In combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.,Treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery,08/10/2008,02/04/2004,100.0,pemetrexed disodium,Alimta,Eli Lilly and Company,Indiana,United States
gefitinib,gefitinib,"Indicated for the first line treatment of patients with locally advanced or metastatic non small cell lung cancer (NSLC) who have activating mutationof the EGFRTK"".",For the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test,12/18/2009,07/13/2015,100.0,gefitinib,Iressa,AstraZeneca Pharmaceuticals LP,Delaware,United States
ifosfamide + mesna,Ifosfamide,NOC granted to the firm as it was earlier licenced by SLA (Maharashtra),"In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer.",07/30/1999,12/30/1988,100.0,Ifosfamide,Ifex,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
mebendazole,mebendazole,,treatment of patients one year of age and older withgastrointestinal infections caused by Ascaris lumbricoides (roundworm) and Trichuris trichiura (whipworm),01/12/1974,10/19/2016,100.0,mebendazole,VERMOX 500 mg chewable tablets,"Janssen Pharmaceutical Research & Development, LLC",New Jersey,United States
pilocarpine hydrochloride,Pilocarpine,For treatment of radiation induced xerostomia in patients undergoing radiotherapy of head & neck cancer and in patients with sjogren's syndrome.,Treatment of symptoms of xerostomia from salivary gland hypofunction caused by radiotherapy for cancer of the head and neck.,03/13/2003,03/22/1994,100.0,Pilocarpine,Salagen,"MGI Pharma, Inc.",Minnesota,United States
pirfenidone,pirfenidone,For the treatment of idiopathic pulmonary fibrosis.,Treatment of idiopathic pulmonary fibrosis,09/14/2010,10/15/2014,100.0,pirfenidone,ESBRIET,Genentech,California,United States
bosentan,bosentan,"For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO Class III or IV symptoms, to improve excercise ability and decrease the rate of clinical worsening.","Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",06/23/2009,09/05/2017,100.0,bosentan,Tracleer,Actelion Pharmaceuticals Ltd,New Jersey,United States
pazopanib,pazopanib,For the treatment of patients with advanced Soft Tissue Sarcoma (STS) who have received prior chemotherapy.,Advanced soft tissue sarcoma (STS) who have received prior chemotherapy,02/23/2015,04/26/2012,100.0,pazopanib,Votrient,Novartis Pharmaceuticals Corp,New Jersey,United States
triclabendazole bolus,triclabendazole,"Broad spectrum flubicide- Indicated in the treatment of chronic fasciola gigantica, F.hepatica in sheep, goats, cattle and buffaloes.",EGATEN¿ is indicated for the treatment of fascioliasis in patients 6 years of age and older.,01/09/1988,02/13/2019,100.0,triclabendazole,Egaten,Novartis Pharmaceuticals Corporation,New Jersey,United States
eribulin mesylate,eribulin mesylate,For the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least one chemotherapeutic regimens for advanced disease. Prior therapy should have included an anthracycline and a taxane in either the adjuvantÞ¡,Treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracyclne-containing regimen,02/18/2015,01/28/2016,100.0,eribulin mesylate,Halaven,Eisai Inc.,New Jersey,United States
mitomycin-c,mitomycin-C,,An adjunct to ab externo glaucoma surgery.,01/12/1972,02/07/2012,100.0,mitomycin-C,Mitosol,"Mobius Therapeutics, LLC",Missouri,United States
glycopyrrolate,glycopyrrolate,"Anaesthetic agent- for use as a pre operative antimuscarine to reduce salivary, tracheobronchial & phyrigeal secretions, arrhythmias & brodycardia associated with reversal o muscle relaxant.",To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),01/12/1979,07/28/2010,100.0,glycopyrrolate,Cuvposa,"Shionogi, Inc.",New Jersey,United States
arsenic trioxide,Arsenic trioxide,For induction of remission and consolidation in patients with acute promyelocytic leukemia.,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation of PML/RAR-alpha gene expression.",06/12/2003,09/25/2000,100.0,Arsenic trioxide,Trisenox,"Teva Branded Pharmaceutical Products R&D, Inc.",Pennsylvania,United States
caffeine citrate,Caffeine,For the short treatment of apnoea of prematurity in infants between 28 and <33 weeks gestational age.,Short term treatment of apnea of prematurity in infants between 28 and less than 33 weeks gestational age.,07/21/2009,09/21/1999,100.0,Caffeine,Cafcit,"O.P.R. Development, L.P.",Kansas,United States
basiliximab,Basiliximab,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.,05/28/1999,05/12/1998,100.0,Basiliximab,Simulect,Novartis Pharmaceuticals Corporation,New Jersey,United States
trametinib,trametinib,As a monotherapy and in combination with Dabrafenib for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test.,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,trametinib,MEKINIST,Novartis Pharmaceuticals Corp.,New Jersey,United States
topiramate,Topiramate,In the treatment of partial and generalized tonic clonic seizures.,As adjunctive therapy in patients two years and older with siezures associated with Lennox-Gastaut syndrome.,08/23/1999,08/28/2001,100.0,Topiramate,Topamax,"Johnson & Johnson Pharmaceutical R & D, LLC",New Jersey,United States
alectinib,alectinib,"For the treatment of patients with anaplastic lymphoma kinase (ALK)-Positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to Crizotinib.","adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test",01/23/2017,04/18/2024,100.0,alectinib,Alecensa,"Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)",California,United States
carbamazepine,intravenous carbamazepine,,"Replacement therapy for oral carbamazepine formulations, when oral administration is temporarily not feasible, in adults with the following seizure types: (1) Partial seizures with complex symptomology; (2)Generalized tonic-clonic seizures; and (3) Mixed seizure patterns which include the above or other partial or generalized seizures",05/17/1993,10/07/2016,100.0,intravenous carbamazepine,CARNEXIV,Lundbeck LLC,North Carolina,United States
panobinostat,panobinostat,"In combination with bortezomib and dexamethasone, is indicated for the treatment of patients with multiple myeloma, who received at least 1 prior therapy.","FARYDAK (panobinostat) in combination with bortezomib (BTZ) and dexamethasone (DEX) for the treatment of patients with multiple myeloma who have received at least 2 prior regimens, including bortezomib and an immunomodulatory agent",03/27/2016,02/23/2015,100.0,panobinostat,Farydak,zr pharma& GmbH,,Austria
rituximab (finished formulation import),rituximab,By cancer specialist-for the treatment of patients with relapsed or chemo resistant indolent B cell non-hodgkins lymphomas.,"Treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin's lymphoma",10/07/2000,11/26/1997,100.0,rituximab,Rituxan,"Genentech, Inc.",California,United States
eliglustat,eliglustat,"For the long term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (Ems), intermediate metabolizers (Ims), or poor metabolizers (PMs) as detected by an appropriate test.","Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",01/31/2017,08/19/2014,100.0,eliglustat,CERDELGA,Genzyme Corporation,Massachusetts,United States
nafarelin acetate,Nafarelin acetate,Endometriosis and central precarious puberty only (for gynaecologist only),Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.,03/17/1999,02/26/1992,100.0,Nafarelin acetate,Synarel Nasal Solution,"Syntex (USA), Inc.",California,United States
trastuzumab,trastuzumab,By cancer specialist-in metastatic breast cancer who have tumours that over express human epidermal growth factor receptor-2 (HER2),"Treatment of patients with HER2 overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma, who have not received prior treatment for metastatic disease",10/07/2000,10/20/2010,100.0,trastuzumab,Herceptin,"Genentech, Inc.",California,United States
thalidomide caps,Thalidomide,For acute treatment of the cutaneous manifestation of moderate to severe erythema nodosum loprosum and for the treatment of multiple myeloma.,Acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL) and as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrences.,10/30/2001,07/16/1998,100.0,Thalidomide,Thalomid,Celgene Corporation,New Jersey,United States
daclizumab,Daclizumab,"By hospital, nursing homes, institution only. For prophylaxis in acute organ rejection in patients receiving transplants.","Prophylaxis of acute organ rejection in patients receiving renal transplants, to be used as a part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.",01/08/2006,12/10/1997,100.0,Daclizumab,Zenapax,"Hoffmann-La Roche, Inc.",New Jersey,United States
ceritinib,ceritinib,For the treatment of patients withÂ anaplasticÂ lymphomaÂ kinaseÂ (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who haveÂ progressed on or are intolerant toÂ crizotinib.,Treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test,01/06/1980,05/26/2017,100.0,ceritinib,ZYKADIA,Novartis Pharmaceuticals Corp.,New Jersey,United States
somatropin (r human growth hormone),Somatropin,By endorinologists- growth failure due to in adequate secretion of normal endogenous growth hormone.,Treatment of short stature in patients with Noonan syndrome,03/31/2008,05/31/2007,100.0,Somatropin,Norditropin,Novo Nordisk Inc.,New Jersey,United States
cladribine,Cladribine,Anti cancer.,,07/07/2011,02/26/1993,100.0,Cladribine,Leustatin Injection,R. W. Johnson Pharmaceutical Research Institute,New Jersey,United States
teriparatide,Teriparatide,For osteoporosis.,,03/26/2008,12/23/1987,100.0,Teriparatide,Parathar,"Rhone-Poulenc Rorer Pharmaceuticals, Inc.",Pennsylvania,United States
mefloquine hydrochloride,mefloquine HCL,Used in severe malaria including cerebral malaria and as a second line chloroquine resistant malaria cases only.,Treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax,03/03/1997,05/02/1989,100.0,mefloquine HCL,Lariam,"Hoffmann-La Roche, Inc.",New Jersey,United States
riluzole,Riluzole,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of patients with amyotrophic lateral sclerosis. Riluzole extends survival and/or time to tracheostomy.,10/17/1997,12/12/1995,100.0,Riluzole,Rilutek,"Rhone-Poulenc Rorer Pharmaceuticals, Inc.",Pennsylvania,United States
filgrastim,Filgrastim,"For decreasing the severity of cytotoxic chemotherapy induced neutropenia, acceleration.",Reduce the duration of neutropenia and neutropenia sequelae in patients with non-myeloid malignancies undergoing ablative chemotherapy followed by BMT.,06/28/2001,06/15/1994,100.0,Filgrastim,Neupogen,"Amgen, Inc.",California,United States
pasireotide,pasireotide,"""For the treatment of adult patients with Cushingâ??s Disease for whom Pituitary surgery is not an option or has not been curative"".",Treatment of adult patients with Cushing's disease for whom pituitary surgery is not an option or has not been curative,03/18/2015,12/14/2012,100.0,pasireotide,Signifor,Novartis Pharmaceuticals Corporation,New Jersey,United States
naltrexone hydrochloride,Naltrexone HCl,In the treatment of narcotic antagonist and alcohol dependence.,,11/10/1996,11/30/1984,100.0,Naltrexone HCl,Trexan,DuPont Pharmaceuticals,Delaware,United States
temozolomide,temozolomide,"For the treatment of; i) Adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment. Ii) Children from the age of three years, adolescents and adult patients with malignant giÞ¡","Treatment of adult patients with refractory anaplastic astrocytoma, i.e., patients at first relapse who have experienced disease progression on a drug regimen containing a nitrosourea and procarbazine",05/28/2010,08/11/1999,100.0,temozolomide,Temodar,Schering-Plough Research Institute,New Jersey,United States
carfilzomib,carfilzomib,Relapsed or refractory multiple myeloma i) Carfilzomib for injection is indicated in combination with dexamethasone or with lenalidomide plus dexamethasone for the treatment of patients with relapsed or refractory multiple myeloma who have received one Þ¡,Treatment of patients with multiple myeloma who have received at least two prior therapies including bortezomib and an immunomodulatory agent and have demonstrated disease progression on or within 60 days of completion of the last therapy.,01/17/2017,07/20/2012,100.0,carfilzomib,Kyprolis,"Onyx Therapeutics, Inc.",California,United States
plerixafor,plerixafor,In combination with Granulocyte Colony Stimulating Factor (G-CSF) to enhance mobilisation of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous hematopoeitic stem cells transplantation in patients with non-Hodgkinâ??sÞ¡,To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,01/31/2012,12/15/2008,100.0,plerixafor,Mozobil (r),Genzyme Corporation,Massachusetts,United States
regorafenib,regorafenib,"For the â??treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ?�.","Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate.",01/07/2014,02/25/2013,100.0,regorafenib,Stivarga,"Bayer HealthCare Pharmaceuticals, Inc.",New Jersey,United States
sildenafil citrate,sildenafil,For the treatment of pulmonary arterial hypertension (WHO group I) to improve excercise ability.,"treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients (1 to 17 years old) to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underlie improvements in exercise",01/23/2007,03/03/2023,100.0,sildenafil,Revatio,Viatris Specialty LLC,West Virginia,United States
tetrabenazine,Tetrabenazine,"In treatment of movement disorders associated with organic CNS conditions like Huntington's chorea, hemiballismus and senil chorea.",Treatment of chorea associated with Huntington's disease,10/03/1999,08/15/2008,100.0,Tetrabenazine,Xenazine,"Prestwick Pharmaceuticals, Inc",District of Columbia,United States
diazoxide,diazoxide choline,Antihyertensive agent- indicated for reduction of blood pressure in malignant hypertension.,treatment of hyperphagia in adults and pediatric patients 4 years of age and older with Prader-Willi syndrome (PWS),01/08/1978,03/26/2025,100.0,diazoxide choline,Vykat XR,"Soleno Therapeutics, Inc.",California,United States
megestrol acetate,Megestrol acetate,"For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of cancer or acquired immunodeficiency syndrome (AIDS).","Treatment of anorexia, cachexia, or an unexplained significant weight loss in patients with a diagnosis of acquired immune deficiency syndrome.",05/12/2012,09/10/1993,100.0,Megestrol acetate,Megace,Bristol-Myers Squibb Pharmaceutical Research Institute,Indiana,United States
moxidectin,moxidectin,In the treatment and control of internal and external parasites in cattle.,Moxidectin Tablets are indicated for the treatment of onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,01/16/1997,06/13/2018,100.0,moxidectin,,Medicines Development for Global Health Limited,,Australia
infliximab,infliximab,For additional indication- in maintenance therapy of Crohn's disease & fistulising Crohn's disease.,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy,07/15/2004,09/23/2011,100.0,infliximab,Remicade,"Janssen Biotech, Inc.",Pennsylvania,United States
triptorelin,triptorelin pamoate,"For the treatment of prostate cancer, ovarian cancer, breast cancer, precocious buperty, uterine fibroids, myomes, polycystic ovarian disease and pre-treatment in I.V.F",Treatment of pediatric patients 2 years of age and older with central precocious puberty,05/07/1993,06/29/2017,100.0,triptorelin pamoate,Triptodur,"Arbor Pharmaceuticals, LLC",Georgia,United States
amifostine,Amifostine,Indicated as a chemoprotective agent against the serious toxicities associated with intensive regimens of platinum and alkylating agent chemotherapy (on reconstitution each ml will contains 50mg amifostine).,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,03/21/1996,12/08/1995,100.0,Amifostine,Ethyol,"Medimmune Oncology, Inc.",Pennsylvania,United States
dabrafenib,dabrafenib,As a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test. In combination with Trametinib for the treatment of patients with unresectable or metastatic melanoma witÞ¡,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,dabrafenib,TAFINLAR,Novartis Pharmaceuticals Corp.,New Jersey,United States
difluprednate,difluprednate,For the treatment of inflammation and painÂ  associated with ocular surgery.Â,Treatment of endogenous anterior uveitis,01/04/2010,06/13/2012,100.0,difluprednate,Durezol,Alcon Pharmaceuticals. Ltd.,,Switzerland
acyclovir,acyclovir,For the treatment of uncomplicated Herbis Zoster in immunocompetent patients.,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,11/09/2010,03/29/2019,100.0,acyclovir,Avaclyr,Fera Pharmaceuticals,New York,United States
nitazoxanide,nitazoxanide,,Treatment of diarrhea caused by Cryptosporidium parvum and Giardia lamblia,03/17/2004,11/22/2002,100.0,nitazoxanide,Alinia,"Romark Laboratories, L.C.",Florida,United States
paclitaxel,Paclitaxel,Advanced epithelial carcinoma of the ovary after failure of first line or subsequent chemotherapy.,For the second line treatment of AIDS-related Kaposi's sarcoma.,08/25/1994,08/04/1997,100.0,Paclitaxel,Taxol,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
rifabutin,Rifabutin,For treatment of pulmonary T.B only in patients co-infected with HIV. (It should never be used as a substitute to Rifampicin in T.B patients without HIV co-infection).,Prevention of disseminated Mycobacterium avium complex disease in patients with advanced HIV infections.,07/19/2007,12/23/1992,100.0,Rifabutin,Mycobutin,"Adria Laboratories, Inc.",Ohio,United States
lenalidomide,lenalidomide,In combination with dexamethasone for the treatment of multiple myeloma patients who have received at least one prior therapy.,REVLIMID in combination with dexamethasone is indicated for the treatment of patients with multiple myeloma (MM).,04/22/2008,02/17/2015,100.0,lenalidomide,Revlimid,Celgene Corporation,New Jersey,United States
decitabine,decitabine,"For treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes(refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia wÞ¡","for treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups",04/28/2009,05/02/2006,100.0,decitabine,Dacogen,Otsuka Pharmaceutical Development,New Jersey,United States
